13467	unusable	使用できない、役に立たなくなった	The broken computer was completely unusable.	壊れたコンピュータは完全に使えなくなっていた。	こわれたこんぴゅーたはかんぜんにつかえなくなっていた。
13468	feline	猫、猫の	She adopted a feline from the animal shelter.	彼女は動物保護施設から猫を引き取った。	かのじょはどうぶつほごしせつからねこをひきとった。
13469	seriousness	真剣さ、深刻さ	His seriousness about the project impressed everyone.	彼のそのプロジェクトに対する真剣さは皆を感心させた。	かれのそのぷろじぇくとにたいするしんけんさはみなをかんしんさせた。
13470	inconvenient	不便な、都合の悪い	It’s inconvenient to schedule the meeting on Friday.	金曜日に会議を予定するのは不便です。	きんようびにかいぎをよていするのはふべんです。
13471	grimly	険しい表情で、厳しく、または決然とした様子で	He looked grimly at the damaged car.	彼は壊れた車を厳しい表情で見つめた。	かれはこわれたくるまをきびしいひょうじょうでみつめた。
13472	cursor	コンピュータ画面上のカーソル	The cursor blinked on the screen.	カーソルが画面上で点滅した。	かーそるががめんじょうでてんめつした。
13473	troublesome	面倒な、厄介な	Dealing with noisy neighbors can be troublesome.	騒々しい隣人と対処するのは厄介です。	そうぞうしいりんじんとたいしょするのはやっかいです。
13474	curly	巻き毛の、くるくる巻きの	She has curly hair that bounces when she walks.	彼女は歩くと弾むような巻き毛の髪をしている。	かのじょはあるくとはずむようなまきげのかみをしている。
13475	fleshy	肉厚な、ふっくらした	The fruit has a fleshy texture and sweet taste.	その果物は肉厚で甘い味をしている。	そのくだものはにくあつであまいあじをしている。
13476	ruminant	反芻動物	Cows and sheep are common examples of ruminant animals.	牛や羊は一般的な反芻動物の例です。	うしやひつじはいっぱんてきなはんすうどうぶつのれいです。
13477	guardian	保護者、守護者	The dog was kept as a guardian of the house.	その犬は家の番犬として飼われていた。	そのいぬはいえのばんけんとしてかわれていた。
13478	playground	遊び場、運動場	The children are playing happily in the playground.	子供たちは遊び場で楽しそうに遊んでいる。	こどもたちはあそびばでたのしそうにあそんでいる。
13479	hybridization	雑種化、融合	Hybridization is used to create plants with desirable traits.	品種改良のために雑種化が用いられる。	ひんしゅかいりょうのためにざっしゅかがもちいられる。
13480	combustible	燃えやすい、燃焼性の	Gasoline is highly combustible and should be handled carefully.	ガソリンは非常に燃えやすく、取り扱いに注意が必要です。	がそりんはひじょうにもえやすく、とりあつかいにちゅういがひつようです。
13481	grassland	草原、草地	The vast grassland supports a variety of wildlife.	広大な草原はさまざまな野生生物の生息地となっている。	こうだいなそうげんはさまざまなやせいせいぶつのせいそくちとなっている。
13482	unprepared	準備不足の	He was unprepared for the sudden exam.	彼は突然の試験に準備ができていなかった。	かれはとつぜんのしけんにじゅんびができていなかった。
13483	overdone	焼き過ぎた、やりすぎの	The steak was overdone and lost its tenderness.	ステーキは焼きすぎて柔らかさを失った。	すてーきはやきすぎてやわらかさをうしなった。
13484	concurrently	同時に、並行して	The two projects are being developed concurrently.	その二つのプロジェクトは同時に進行しています。	そのふたつのぷろじぇくとはどうじにしんこうしています。
13485	carnivorous	肉食の	Lions are carnivorous animals that hunt zebras.	ライオンはシマウマを狩る肉食動物です。	らいおんはしまうまをかるにくしょくどうぶつです。
13486	supposition	推定、推測	His theory is based on the supposition that all events are predetermined.	彼の理論はすべての出来事があらかじめ決まっているという推測に基づいています。	かれのりろんはすべてのできごとがあらかじめきまっているというすいそくにもとづいています。
13487	stall	露店、屋台	She bought fresh vegetables from a stall at the market.	彼女は市場の屋台で新鮮な野菜を買いました。	かのじょはしじょうのやたいでしんせんなやさいをかいました。
13488	craftsman	職人	He is a skilled craftsman who makes handmade furniture.	彼は手作りの家具を作る熟練した職人です。	かれはてづくりのかぐをつくるじゅくれんしたしょくにんです。
13489	commonwealth	英連邦	The Commonwealth of Nations is a political association of mostly former territories of the British Empire.	イギリス連邦は、主にイギリス帝国の旧領土からなる政治連合体です。	いぎりすれんぽうは、おもにいぎりすていこくのきゅうりょうどからなるせいじれんごうたいです。
13490	blindly	盲目的に、無分別に	He followed her advice blindly, without considering the risks.	彼はリスクを考えずに、盲目的に彼女のアドバイスに従った。	かれはりすくをかんがえずに、もうもくてきにかのじょのあどばいすにしたがった。
13491	toadstool	毒キノコ	They found a large toadstool in the forest.	彼らは森で大きな毒キノコを見つけました。	かれらはもりでおおきなどくきのこをみつけました。
13492	inventive	創造的な、発明的な	She is very inventive and always comes up with new solutions.	彼女は非常に創造的で、常に新しい解決策を考え出します。	かのじょはひじょうにそうぞうてきで、つねにあたらしいかいけつさくをかんがえだします。
13493	affectionately	愛情を込めて	He patted the dog affectionately.	彼は愛情を込めて犬を撫でた。	かれはあいじょうをこめていぬをなでた。
13494	postpartum	出産後の期間	She received special care during her postpartum recovery.	彼女は出産後の回復期間中に特別なケアを受けました。	かのじょはしゅっさんごのかいふくきかんちゅうにとくべつなけあをうけました。
13495	pulpy	果肉の多い、果物の果肉を含む	I enjoy a glass of pulpy orange juice in the morning.	私は朝に果肉たっぷりのオレンジジュースを楽しみます。	わたくしはあさにかにくたっぷりのおれんじじゅーすをたのしみます。
13496	contemptuously	軽蔑的に	He looked at the messy room contemptuously.	彼は散らかった部屋を軽蔑的に見ました。	かれはちらかったへやをけいべつてきにみました。
13497	dangerously	危険にさらすように、危険に	The mountain climber was dangerously close to the edge.	その登山者は危険なほど崖の端に近づいていた。	そのとざんしゃはきけんなほどがけのはしにちかづいていた。
13498	prefect	組織で特定の役割を担う地位や役職	The school prefect must enforce discipline during the assembly.	校長代理は集会中の規律を維持しなければなりません。	こうちょうだいりはしゅうかいちゅうのきりつをいじしなければなりません。
13499	awe	畏敬の念、恐怖	They stood in awe of the majestic mountain.	彼らは壮大な山に畏敬の念を抱いて立っていた。	かれらはそうだいなやまにいけいのねんをいだいてたっていた。
13500	oats	オーツ麦、燕麦	I usually have oatmeal made from oats for breakfast.	オーツ麦から作ったオートミールを朝食に食べることが多い。	おーつむぎからつくったおーとみーるをちょうしょくにたべることがおおい。
13501	brimstone	硫黄	The volcano emitted clouds of brimstone and ash.	その火山は硫黄と灰の雲を放出した。	そのかざんはいおうとはいのくもをほうしゅつした。
13502	semi	半分の、半分程度の	The semi-finals of the tournament will be held next weekend.	トーナメントの準決勝は来週末に開催されます。	とーなめんとのじゅんけっしょうはらいしゅうまつにかいさいされます。
13503	interchangeable	交換可能な、取り替えられる	Most parts of this appliance are interchangeable.	この装置のほとんどの部品は交換可能です。	このそうちのほとんどのぶひんはこうかんかのうです。
13504	possessive	所有を示す、所有格の	She has a possessive attitude towards her belongings.	彼女は自分の持ち物に対して所有欲が強い。	かのじょはじぶんのもちものにたいしてしょゆうよくがつよい。
13505	overabundance	過剰、多すぎること	There is an overabundance of food at the party.	パーティーには食べ物が過剰にあります。	ぱーてぃーにはたべものがかじょうにあります。
13506	quieter	静かな、より静かな	This room is quieter than the main hall.	この部屋はメインホールより静かです。	このへやはめいんほーるよりしずかです。
13507	hasp	ドアなどの掛け金、留め金	Make sure the hasp is securely closed.	留め金がしっかり閉まっていることを確認してください。	とめがねがしっかりしまっていることをかくにんしてください。
13508	rethink	再考する、考え直す	We need to rethink our strategy.	私たちは戦略を再考する必要があります。	わたしたちはせんりゃくをさいこうするひつようがあります。
13509	trendy	流行の、トレンディな	She always wears trendy outfits.	彼女はいつも流行の服を着ています。	かのじょはいつもりゅうこうのふくをきています。
13510	complexly	複雑に、入り組んで	The system was designed complexly to ensure security.	そのシステムはセキュリティを確保するために複雑に設計されていました。	そのしすてむはせきゅりてぃをかくほするためにふくざつにせっけいされていました。
13511	vertebrate	脊椎動物	Humans are vertebrates.	人間は脊椎動物です。	にんげんはせきついどうぶつです。
13512	urgently	差し迫って、緊急に	The doctor was called urgently.	医者は緊急に呼ばれました。	いしゃはきんきゅうによばれました。
13513	unease	不安、不快感	She felt a sense of unease before the meeting.	彼女は会議の前に不安を感じました。	かのじょはかいぎのまえにふあんをかんじました。
13514	equidistant	複数の点から等しい距離にあること	The points are equidistant from the center of the circle.	その点は円の中心から等距離にあります。	そのてんはえんのちゅうしんからとうきょりにあります。
13515	responsive	応答する、反応する、返答する	The company was very responsive to customer feedback.	その会社は顧客の意見に非常に迅速に対応しました。	そのかいしゃはこきゃくのいけんにひじょうにじんそくにたいおうしました。
13516	persistence	持続性	Her persistence helped her achieve her goals.	彼女の粘り強さが目標達成に役立ちました。	かのじょのねばりづよさがもくひょうたっせいにやくだちました。
13517	rhythmical	リズミカルな	The dancer performed with rhythmical grace.	そのダンサーはリズミカルな優雅さで踊った。	そのだんさーはりずみかるなゆうがさでおどった。
13518	collectible	収集できる、特に趣味として集められるもの	He has an impressive collection of vintage coins, making them highly collectible.	彼はビンテージ硬貨の素晴らしいコレクションを持っており、それらは非常に収集価値があります。	かれはびんてーじこうかのすばらしいこれくしょんをもっており、それらはひじょうにしゅうしゅうかちがあります。
13519	correctness	正確さや正しさの品質	The teacher praised his correctness in solving the math problems.	先生は彼の数学の問題解決の正確さをほめました。	せんせいはかれのすうがくのもんだいかいけつのせいかくさをほめました。
13520	disfigurement	外見を台無しにする損傷や変形	The accident caused disfigurement to his face.	その事故は彼の顔に傷跡を残しました。	そのじこはかれのかおにきずあとをのこしました。
13521	involuntary	自発的でない、意識しない、反射的な	The reflex was an involuntary response to the stimulus.	その反射は刺激に対する無意識の反応でした。	そのはんしゃはしげきにたいするむいしきのはんのうでした。
13522	seller	販売者、売り手	The seller offered a discount for bulk purchases.	売り手は大量購入に対して割引を提供しました。	うりてはたいりょうこうにゅうにたいしてわりびきをていきょうしました。
13523	ghostly	幽霊のような、不気味な	We heard a ghostly sound in the old house.	古い家で幽霊のような音が聞こえました。	ふるいいえでゆうれいのようなおとがきこえました。
13524	deactivate	無効にする、停止させる	Please deactivate your account if you no longer need it.	もう必要ない場合はアカウントを無効にしてください。	もうひつようないばあいはあかうんとをむこうにしてください。
13525	rainforest	熱帯雨林	The Amazon rainforest is home to many unique species.	アマゾン熱帯雨林には多くのユニークな種が生息しています。	あまぞんねったいうりんにはおおくのゆにーくなたねがせいそくしています。
13526	proficiency	熟練度、能力	She demonstrated her proficiency in Japanese during the interview.	彼女は面接で日本語の熟練度を示しました。	かのじょはめんせつでにほんごのじゅくれんどをしめしました。
13527	operative	作動中の、稼働している	The new security system is now operative.	新しいセキュリティシステムは現在稼働しています。	あたらしいせきゅりてぃしすてむはげんざいかどうしています。
13528	antler	角（鹿の角）	The buck's antlers were very large this year.	この年の雄鹿の角は非常に大きかったです。	このとしのおじかのかどはひじょうにおおきかったです。
13529	wingless	翼のない	The fly was wingless due to a genetic mutation.	そのハエは遺伝子変異のため翼がありませんでした。	そのはえはいでんしへんいのためつばさがありませんでした。
13530	unproductive	生産性のない、成果の上がらない	The meeting was unproductive and lasted for hours.	その会議は非生産的で何時間も続いた。	そのかいぎはひせいさんてきでなんじかんもつづいた。
13531	odorless	匂いのない	This cleaning agent is odorless and safe to use around children.	この洗剤は匂いがなく、子供の周りでも安全に使えます。	このせんざいはにおいがなく、こどものまわりでもあんぜんにつかえます。
13532	crosspiece	横木、横棒	The door frame was reinforced with a strong crosspiece.	ドア枠は丈夫な横木で補強された。	どあわくはじょうぶなよこぎでほきょうされた。
13533	hideout	隠れ場所	The criminals used an abandoned house as their hideout.	犯罪者たちは廃屋を隠れ場所として利用した。	はんざいしゃたちははいおくをかくればしょとしてりようした。
13534	distinctly	はっきりと、明確に	She spoke so distinctly that everyone understood her.	彼女はとても明確に話したので、みんな理解できた。	かのじょはとてもめいかくにはなしたので、みんなりかいできた。
13535	redness	赤さ	The redness of the sky indicated an approaching storm.	空の赤みは近づく嵐を示していた。	そらのあかみはちかづくあらしをしめしていた。
13536	borrower	借り手	The borrower returned the book after two weeks.	借り手は2週間後に本を返した。	かりてはにしゅうかんごにほんをかえした。
13537	endearment	愛情表現、愛称	She often uses sweet endearments when talking to her children.	彼女は子供たちに話すときによく優しい愛称を使う。	かのじょはこどもたちにはなすときによくやさしいあいしょうをつかう。
13538	punctuation	句読点	Proper punctuation is important for clear writing.	正しい句読点は明確な文章にとって重要です。	ただしいくとうてんはめいかくなぶんしょうにとってじゅうようです。
13539	amazement	驚き、仰天	She watched in amazement as the magician performed his tricks.	彼女はマジシャンが魔法を披露するのを驚きながら見ていた。	かのじょはまじしゃんがまほうをひろうするのをおどろきながらみていた。
13540	uninterested	興味や熱意を示さない	He seemed uninterested in the lecture.	彼は講義に興味がなさそうだった。	かれはこうぎにきょうみがなさそうだった。
13541	menstrual	月経に関する、月経の	Menstrual cramps can be very painful.	月経時の生理痛は非常に痛いことがあります。	げっけいじのせいりつうはひじょうにいたいことがあります。
13543	liveliness	活気、元気の良さ	The party was filled with liveliness and joy.	パーティーは活気と喜びに満ちていた。	ぱーてぃーはかっきとよろこびにみちていた。
13544	counseling	相談、カウンセリング	She decided to seek counseling for her anxiety.	彼女は不安のためにカウンセリングを受けることにした。	かのじょはふあんのためにかうんせりんぐをうけることにした。
13545	thoroughness	徹底性、入念さ	Her thoroughness in research was impressive.	彼女の研究における徹底さは感嘆すべきものだった。	かのじょのけんきゅうにおけるてっていさはかんたんすべきものだった。
13546	buffoonery	おどけ騒ぎ、滑稽さ	His buffoonery made everyone laugh.	彼の滑稽なふるまいにみんなが笑った。	かれのこっけいなふるまいにみんながわらった。
13547	resound	こだまする、反響する	The hall resounded with applause.	ホールは拍手の音で反響した。	ほーるははくしゅのおとではんきょうした。
13548	prong	爪や先端の突起、（フォークなどの）歯	The fork has three prongs.	フォークには3本の爪がある。	ふぉーくにはさんぽんのつめがある。
13549	frighteningly	恐ろしく、不気味に	The storm was frighteningly powerful.	その嵐は恐ろしく強力だった。	そのあらしはおそろしくきょうりょくだった。
13550	tenderize	柔らかくする	To improve the texture, the chef decided to tenderize the steak before cooking.	食感を良くするために、シェフはステーキを調理前に柔らかくすることにした。	しょっかんをよくするために、しぇふはすてーきをちょうりまえにやわらかくすることにした。
13551	showy	派手で目立つ、華やかな	She wore a showy dress that caught everyone's eye.	彼女はみんなの目を引く派手なドレスを着ていた。	かのじょはみんなのめをひくはでなどれすをきていた。
13552	serenity	平静さ、落ち着き	The lake's surface reflected the serenity of the early morning.	湖の水面は早朝の静けさを映していた。	みずうみのすいめんはそうちょうのしずけさをうつしていた。
13553	unintentional	意図しない、偶然の	His mistake was unintentional, and he apologized sincerely.	彼のミスは意図しないものであり、彼は心から謝罪しました。	かれのみすはいとしないものであり、かれはこころからしゃざいしました。
13554	reliably	確実に、信頼できる方法で	She completes her work reliably and always meets deadlines.	彼女は仕事を確実に仕上げ、常に締め切りを守る。	かのじょはしごとをかくじつにしあげ、つねにしめきりをまもる。
13555	uncontrollably	制御できない状態で	He started laughing uncontrollably at the joke.	彼はその冗談で制御できないほど笑い出した。	かれはそのじょうだんでせいぎょできないほどわらいだした。
13556	personification	非人間的なものに人間の特性を与えること	The poem uses personification to bring the wind to life.	その詩は風に命を吹き込むために擬人化を用いている。	そのしはふうにいのちをふきこむためにぎじんかをもちいている。
13557	runner	走る人、ランナー	He trained hard to become a professional marathon runner.	彼はプロのマラソンランナーになるために一生懸命トレーニングした。	かれはぷろのまらそんらんなーになるためにいっしょうけんめいとれーにんぐした。
13558	strawberry	イチゴ	She picked a ripe strawberry from the garden.	彼女は庭から熟したイチゴを摘んだ。	かのじょはにわからじゅくしたいちごをつんだ。
13559	dispersal	散布、拡散	The dispersal of seeds by animals helps plants to propagate.	動物による種子の散布は植物の繁殖を助ける。	どうぶつによるしゅしのさんぷはしょくぶつのはんしょくをたすける。
13560	grimace	しかめ面、しかめっ面をすること	He made a grimace when he tasted the sour lemon.	彼は酸っぱいレモンを味わってしかめ面をした。	かれはすっぱいれもんをあじわってしかめづらをした。
13561	mindedness	考え方、意識、心構え	Her open-mindedness allowed her to accept new ideas easily.	彼女の心の広さが新しい考えをすぐに受け入れることを可能にした。	かのじょのこころのひろさがあたらしいかんがえをすぐにうけいれることをかのうにした。
13562	intensely	非常に、激しく	She was intensely interested in the subject.	彼女はそのテーマに非常に興味を持っていた。	かのじょはそのてーまにひじょうにきょうみをもっていた。
13563	streetcar	路面電車	We took a streetcar downtown to avoid traffic.	渋滞を避けるために私たちは路面電車で市中心部へ行った。	じゅうたいをさけるためにわたしたちはろめんでんしゃでしちゅうしんぶへいった。
13564	bee	蜂	A bee was buzzing around the flowers in the garden.	庭の花の周りをブンブン飛ぶ蜂がいた。	にわのはなのまわりをぶんぶんとぶはちがいた。
13565	Antarctica	南極大陸	Scientists conduct research at various stations on the Antarctic continent.	科学者たちは南極大陸のさまざまな基地で研究を行っている。	かがくしゃたちはなんきょくたいりくのさまざまなきちでけんきゅうをおこなっている。
13566	spear	槍	The warriors used spears during the ancient battle.	戦士たちは古代の戦いで槍を使った。	せんしたちはこだいのたたかいでやりをつかった。
13567	fantastical	空想的な、幻想的な	The movie depicted a fantastical world filled with magical creatures.	その映画は魔法の生き物で満ちた幻想的な世界を描いていた。	そのえいがはまほうのいきものでみちたげんそうてきなせかいをえがいていた。
13568	countless	数え切れないほどの、多数の	There are countless stars in the night sky.	夜空には数え切れないほどの星がある。	よぞらにはかぞえきれないほどのほしがある。
13569	chili	唐辛子、チリ	I added some chili to the soup for extra heat.	スープに辛さを増すために唐辛子を加えた。	すーぷにつらさをますためにとうがらしをくわえた。
13570	calf	子牛、子象、子鯨など	The calf was born yesterday at the farm.	昨日、農場で子牛が生まれました。	きのう、のうじょうでこうしがうまれました。
13571	covering	覆うもの、覆い	The blanket served as a covering to keep him warm.	毛布は彼を暖かく保つための覆いとして役立った。	もうふはかれをあたたかくたもつためのおおいとしてやくだった。
13572	salamander	サンショウウオ、西洋の伝説上の動物	Salamanders are amphibians and have a unique life cycle.	サンショウウオは両生類で、独特のライフサイクルを持っている。	さんしょううおはりょうせいるいで、どくとくのらいふさいくるをもっている。
13573	parasitic	寄生性の、寄生的な	Many insects have parasitic relationships with plants.	多くの昆虫は植物と寄生関係にある。	おおくのこんちゅうはしょくぶつときせいかんけいにある。
13574	irregularly	不規則に、一定していない方法で	She visited the doctor irregularly whenever she felt unwell.	彼女は調子が悪いときだけ不規則に医者を訪れた。	かのじょはちょうしがわるいときだけふきそくにいしゃをおとずれた。
13575	reoccur	再発する、繰り返し起こる	The problem may reoccur if it is not fixed properly.	適切に修理されないと、その問題は再発する可能性がある。	てきせつにしゅうりされないと、そのもんだいはさいはつするかのうせいがある。
13576	sensible	分別のある、賢明な、思慮深い	It was a sensible decision to save money for future needs.	将来のためにお金を貯めるのは賢明な決断でした。	しょうらいのためにおかねをためるのはけんめいなけつだんでした。
13577	habitation	居住、住む場所	Many animals find habitat in the forest.	多くの動物が森に生息地を見つけます。	おおくのどうぶつがもりにせいそくちをみつけます。
13578	chatty	おしゃべりな、よく喋る	She has a very chatty personality and loves to share stories.	彼女はとてもおしゃべりな性格で、物語を語るのが大好きです。	かのじょはとてもおしゃべりなせいかくで、ものがたりをかたるのがだいすきです。
13579	workday	平日の勤務日	He looks forward to relaxing on his days off, not his workdays.	彼は仕事の日ではなく、休みの日にリラックスすることを楽しみにしています。	かれはしごとのひではなく、やすみのひにりらっくすすることをたのしみにしています。
13580	disagreeable	不快な、気に入らない	The weather was disagreeable, so they stayed indoors.	天気が悪くて、彼らは屋内にいました。	てんきがわるくて、かれらはおくないにいました。
13581	unavoidable	避けられない、避けられそうもない	Death is an unavoidable part of life.	死は人生の避けられない部分です。	しはじんせいのさけられないぶぶんです。
13582	dutifully	義務感を持って、責任感を持って	She dutifully completed all her tasks before leaving.	彼女は責任感を持ってすべての仕事を終えました。	かのじょはせきにんかんをもってすべてのしごとをおえました。
13583	extraordinarily	並外れて、非常に	The artist's work was extraordinarily beautiful.	その芸術家の作品は非常に美しかったです。	そのげいじゅつかのさくひんはひじょうにうつくしかったです。
13584	slavish	奴隷のような	His slavish obedience annoyed his colleagues.	彼の奴隷のような服従は同僚たちを苛立たせた。	かれのどれいのようなふくじゅうはどうりょうたちをいらだたせた。
13585	wardrobe	洋服ダンス	She opened the wardrobe to find her missing dress.	彼女は失くしたドレスを見つけるために洋服ダンスを開けた。	かのじょはなくしたどれすをみつけるためにようふくだんすをあけた。
13586	eave	軒先（のきさき）	The rain dripped from the eave of the house.	雨が家の軒先から滴っていた。	あめがいえののきさきからしたたっていた。
13587	clinic	診療所	She went to the clinic for her routine check-up.	彼女は定期健診のために診療所へ行った。	かのじょはていきけんしんのためにしんりょうじょへいった。
13588	metropolis	大都市、繁華街のある都市	Tokyo is one of the world's major metropolises.	東京は世界の主要な大都市の一つです。	とうきょうはせかいのしゅようなだいとしのひとつです。
13589	jarring	耳障りな	The loud, jarring noise disturbed our sleep.	大きくて耳障りな音が私たちの眠りを妨げた。	おおきくてみみざわりなおとがわたしたちのねむりをさまたげた。
13590	topping	上に載せる層や覆い	She added whipped cream as a topping to the dessert.	彼女はデザートにホイップクリームをトッピングした。	かのじょはでざーとにほいっぷくりーむをとっぴんぐした。
13591	juicy	ジューシーな、興味深い、刺激的な	The peach was so juicy that it dripped everywhere.	その桃はとてもジューシーで、至る所に滴った。	そのももはとてもじゅーしーで、いたるところにしたたった。
13592	misinterpretation	誤解、誤った理解	His comments were a misinterpretation of his intentions.	彼のコメントは彼の意図の誤解でした。	かれのこめんとはかれのいとのごかいでした。
13593	restraint	抑制、制御	He showed great restraint in his comments.	彼はコメントにおいて大きな抑制を見せた。	かれはこめんとにおいておおきなよくせいをみせた。
13594	marsupial	有袋類	The kangaroo is a well-known marsupial.	カンガルーは有名な有袋類だ。	かんがるーはゆうめいなゆうたいるいだ。
13595	flawlessly	完璧に、欠点なく	She performed the dance flawlessly, impressing everyone.	彼女はダンスを完璧に披露し、皆を感動させました。	かのじょはだんすをかんぺきにひろうし、みなをかんどうさせました。
13596	multicolore	多色の、多彩な	The artwork was multicolore, featuring a vibrant mix of hues.	そのアート作品は多彩で、鮮やかな色の組み合わせが特徴でした。	そのあーとさくひんはたさいで、あざやかないろのくみあわせがとくちょうでした。
13597	stiffness	硬直、こわばり	After sleeping in an awkward position, his neck experienced stiffness.	不自然な姿勢で寝た後、彼の首はこわばってしまいました。	ふしぜんなしせいでねたあと、かれのくびはこわばってしまいました。
13598	grossly	ひどく、甚だしく	She was grossly exaggerating her achievements to impress others.	彼女は他人を感心させるために自分の功績をひどく誇張していました。	かのじょはたにんをかんしんさせるためにじぶんのこうせきをひどくこちょうしていました。
13599	humbly	謙虚に、控えめに	He accepted the award humbly, acknowledging everyone's support.	彼は謙虚に賞を受け取り、皆の支援に感謝しました。	かれはけんきょにしょうをうけとり、みなのしえんにかんしゃしました。
13600	tusk	牙、長い牙	The elephant used its tusks to dig for water.	象は水を掘り出すために牙を使いました。	ぞうはみずをほりだすためにきばをつかいました。
13601	disinfect	消毒する、殺菌する	Please disinfect the surfaces before preparing the food.	食事の準備をする前に表面を消毒してください。	しょくじのじゅんびをするまえにひょうめんをしょうどくしてください。
13602	stubbornly	頑固に、しつこく	He stubbornly refused to admit he was wrong.	彼は頑固にも自分が間違っていることを認めるのを拒否しました。	かれはがんこにもじぶんがまちがっていることをみとめるのをきょひしました。
13603	mannered	丁寧な、礼儀正しい	The actor's mannered speech made his character seem very theatrical.	その俳優の丁寧な話し方のおかげで、彼の役柄は芝居がかったものになった。	そのはいゆうのていねいなはなしかたのおかげで、かれのやくがらはしばいがかったものになった。
13604	evasive	回避的な、遠回しな	He gave an evasive answer when asked about his plans.	彼は彼の計画について尋ねられたとき、回避的な答えをした。	かれはかれのけいかくについてたずねられたとき、かいひてきなこたえをした。
13605	roundish	やや丸みを帯びた、やや丸い形の	She picked up a roundish stone from the beach.	彼女はビーチで丸みを帯びた石を拾った。	かのじょはびーちでまるみをおびたいしをひろった。
13606	needlework	針仕事、縫い物	She spent the afternoon doing needlework.	彼女は午後を針仕事に費やした。	かのじょはごごをはりしごとについやした。
13607	centimeter	センチメートル	The ruler measures twenty centimeters.	その定規は20センチメートルを測ります。	そのじょうぎはにれいせんちめーとるをはかります。
13608	marinade	マリネ液、肉や魚、野菜を味付けしたり柔らかくしたりするための漬け込み液	He left the chicken to marinate overnight.	彼は鶏肉を一晩マリネ液に漬けた。	かれはけいにくをいちばんまりねえきにつけた。
13609	wealthier	より裕福な、金持ちの	They are wealthier than they were ten years ago.	彼らは10年前よりも裕福になった。	かれらはいちれいねんまえよりもゆうふくになった。
13610	worsen	悪化する、状態が悪くなる	His health began to worsen after the accident.	事故の後、彼の健康は悪化し始めた。	じこのあと、かれのけんこうはあっかしはじめた。
13611	stalk	茎、または忍び寄る	The deer stalked quietly through the forest.	鹿は静かに森の中を忍び足で進んだ。	しかはしずかにもりのなかをしのびあしですすんだ。
13612	professionally	専門的に、職業的に	She handled the situation professionally.	彼女はその状況を専門的に対処した。	かのじょはそのじょうきょうをせんもんてきにたいしょした。
13613	understandable	理解しやすい、わかりやすい	Her emotions were completely understandable given the situation.	状況を考えると、彼女の感情は完全に理解できるものだった。	じょうきょうをかんがえると、かのじょのかんじょうはかんぜんにりかいできるものだった。
13614	knowledgeable	知識が豊富な、詳しい	He is very knowledgeable about ancient history.	彼は古代史について非常に詳しい。	かれはこだいしについてひじょうにくわしい。
13615	mosquito	蚊	We had to put on insect repellent to avoid mosquito bites.	蚊に刺されないように虫除けをつけなければならなかった。	かにさされないようにむしよけをつけなければならなかった。
13616	protract	長引かせる、延長する	The meeting was protracted by several hours due to disagreements.	意見の対立で会議が何時間も引き延ばされた。	いけんのたいりつでかいぎがなんじかんもひきのばされた。
13617	oven	オーブン、調理に使う機器	She baked a delicious cake in the oven.	彼女はオーブンでおいしいケーキを焼いた。	かのじょはおーぶんでおいしいけーきをやいた。
13618	stoppage	停止、中断	The train experienced a stoppage due to track maintenance.	列車は線路整備のため停止した。	れっしゃはせんろせいびのためていしした。
13619	pathogen	病原体	Proper hygiene can help prevent the spread of pathogens.	適切な衛生管理により病原体の拡散を防ぐことができる。	てきせつなえいせいかんりによりびょうげんたいのかくさんをふせぐことができる。
13620	smoothness	滑らかさ	The artist's brushstrokes added to the smoothness of the painting.	その画家の筆遣いが絵画の滑らかさを増した。	そのがかのふでづかいがかいがのなめらかさをました。
13621	vividness	鮮やかさ、鮮明さ	The vividness of her description made the story come alive.	彼女の描写の鮮やかさのおかげで、その話が生き生きと伝わった。	かのじょのびょうしゃのあざやかさのおかげで、そのはなしがいきいきとつたわった。
13622	diocese	司教区、教会の管轄区域	The cathedral is located in the diocese of New York.	その大聖堂はニューヨークの司教区に位置している。	そのだいせいどうはにゅーよーくのしきょうくにいちしている。
13623	knighthood	騎士の身分や称号、または騎士に任命されること	He was awarded knighthood for his services to the country.	彼は国への貢献により騎士の称号を受けた。	かれはくにへのこうけんによりきしのしょうごうをうけた。
13624	airy	広々とした、明るく換気の良い、または軽くて繊細な	The apartment has an airy feel with large windows and high ceilings.	そのアパートは大きな窓と天井高のおかげで開放的な感じがします。	そのあぱーとはおおきなまどとてんじょうこうのおかげでかいほうてきなかんじがします。
13625	awkwardness	不器用さ、ぎこちなさ、気まずさ	There was a moment of awkwardness when no one knew what to say.	誰も何を言うべきかわからず、しばらくぎこちない時間が流れた。	だれもなんをゆうべきかわからず、しばらくぎこちないじかんがながれた。
13626	hilltop	丘のてっぺん、最頂点	They enjoyed the panoramic view from the hilltop.	彼らは丘の上からの全景を楽しんだ。	かれらはおかのうえからのぜんけいをたのしんだ。
13627	excrement	糞尿、排泄物	The dog left behind a pile of excrement on the sidewalk.	その犬は歩道に糞を残していった。	そのいぬはほどうにふんをのこしていった。
13628	musically	音楽に関して、音楽的に	She sings musically and has perfect pitch.	彼女は歌が音楽的で、完璧な音感を持っている。	かのじょはうたがおんがくてきで、かんぺきなおんかんをもっている。
